Linux 5.14.0-570.62.1.el9_6.x86_64 (sample-server) 	04/01/26 	_x86_64_	(64 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:00:02         50      0.27      0.00      0.22      0.00      0.00      0.02      0.01      0.00      0.00     99.47
06:00:02         51      0.27      0.00      0.24      0.00      0.00      0.01      0.01      0.00      0.00     99.46
06:00:02         52      0.11      0.00      0.22      0.00      0.00      0.01      0.01      0.00      0.00     99.65
06:00:02         53      0.10      0.00      0.07      0.00      0.00      0.01      0.00      0.00      0.00     99.83
06:00:02         54      0.11      0.00      0.18      0.00      0.00      0.01      0.01      0.00      0.00     99.69
06:00:02         55      0.11      0.00      0.26      0.00      0.00      0.02      0.01      0.00      0.00     99.60
06:00:02         56      0.18      0.00      0.10      0.00      0.00      0.02      0.01      0.00      0.00     99.68
06:00:02         57      0.19      0.00      0.26      0.00      0.00      0.02      0.01      0.00      0.00     99.53
06:00:02         58      0.20      0.00      0.24      0.00      0.00      0.01      0.01      0.00      0.00     99.54
06:00:02         59      0.20      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     99.65
06:00:02         60      0.24      0.00      0.09      0.00      0.00      0.01      0.01      0.00      0.00     99.65
06:00:02         61      0.39      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.48
06:00:02         62      0.29      0.00      0.11      0.00      0.00      0.66      0.01      0.00      0.00     98.94
06:00:02         63      0.25      0.00      0.10      0.00      0.00      0.66      0.01      0.00      0.00     98.98
06:10:00        all      0.23      0.00      0.18      0.00      0.00      0.03      0.02      0.00      0.00     99.54
06:10:00          0      0.34      0.00      0.14      0.00      0.00      0.04      0.32      0.00      0.00     99.16
06:10:00          1      0.38      0.00      0.15      0.00      0.00      0.02      0.06      0.00      0.00     99.40
06:10:00          2      0.30      0.00      0.13      0.00      0.00      0.02      0.03      0.00      0.00     99.52
06:10:00          3      0.29      0.00      0.08      0.00      0.00      0.02      0.02      0.00      0.00     99.59
06:10:00          4      0.07      0.00      0.20      0.00      0.00      0.01      0.02      0.00      0.00     99.70
06:10:00          5      0.08      0.00      0.20      0.00      0.00      0.01      0.01      0.00      0.00     99.70
06:10:00          6      0.08      0.00      0.18      0.00      0.00      0.01      0.01      0.00      0.00     99.73
06:10:00          7      0.11      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     99.74
06:10:00          8      0.35      0.00      0.14      0.00      0.00      0.02      0.01      0.00      0.00     99.48
06:10:00          9      0.57      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.29
06:10:00         10      0.40      0.00      0.14      0.00      0.00      0.02      0.01      0.00      0.00     99.43
06:10:00         11      1.01      0.00      0.25      0.00      0.00      0.02      0.01      0.00      0.00     98.72
06:10:00         12      0.19      0.00      0.22      0.00      0.00      0.02      0.01      0.00      0.00     99.57
06:10:00         13      0.25      0.00      0.19      0.00      0.00      0.01      0.01      0.00      0.00     99.54
06:10:00         14      0.20      0.00      0.30      0.00      0.00      0.02      0.01      0.00      0.00     99.48
06:10:00         15      0.27      0.00      0.29      0.00      0.00      0.02      0.01      0.00      0.00     99.41
06:10:00         16      0.16      0.00      0.06      0.00      0.00      0.01      0.01      0.00      0.00     99.76
06:10:00         17      0.22      0.00      0.06      0.00      0.00      0.01      0.01      0.00      0.00     99.71
06:10:00         18      0.18      0.00      0.07      0.00      0.00      0.01      0.01      0.00      0.00     99.73
06:10:00         19      0.23      0.00      0.10      0.00      0.00      0.01      0.01      0.00      0.00     99.65
06:10:00         20      0.11      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.77
06:10:00         21      0.11      0.00      0.14      0.00      0.00      0.01      0.01      0.00      0.00     99.73
06:10:00         22      0.13      0.00      0.58      0.00      0.00      0.03      0.01      0.00      0.00     99.26
06:10:00         23      0.11      0.00      0.26      0.00      0.00      0.01      0.01      0.00      0.00     99.61
06:10:00         24      0.10      0.00      0.24      0.00      0.00      0.02      0.01      0.00      0.00     99.64
06:10:00         25      0.19      0.00      0.28      0.00      0.00      0.02      0.01      0.00      0.00     99.51
06:10:00         26      0.08      0.00      0.25      0.00      0.00      0.01      0.01      0.00      0.00     99.66
06:10:00         27      0.16      0.00      0.08      0.00      0.00      0.01      0.01      0.00      0.00     99.75
06:10:00         28      0.34      0.00      0.14      0.00      0.00      0.01      0.01      0.00      0.00     99.50
06:10:00         29      0.31      0.00      0.15      0.00      0.00      0.01      0.02      0.00      0.00     99.51
06:10:00         30      0.31      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     99.54
06:10:00         31      0.31      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.55
06:10:00         32      0.33      0.00      0.12      0.00      0.00      0.04      0.05      0.00      0.00     99.47
06:10:00         33      0.37      0.00      0.10      0.00      0.00      0.02      0.02      0.00      0.00     99.50
06:10:00         34      0.33      0.00      0.10      0.00      0.00      0.02      0.02      0.00      0.00     99.54
06:10:00         35      0.37      0.00      0.10      0.00      0.00      0.01      0.02      0.00      0.00     99.50
06:10:00         36      0.05      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.82
06:10:00         37      0.05      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.76
06:10:00         38      0.04      0.01      0.11      0.00      0.00      0.01      0.00      0.00      0.00     99.84
06:10:00         39      0.06      0.00      0.15      0.00      0.00      0.01      0.01      0.00      0.00     99.77
06:10:00         40      0.26      0.00      0.12      0.00      0.00      0.02      0.01      0.00      0.00     99.59
06:10:00         41      0.27      0.00      0.24      0.00      0.00      0.02      0.01      0.00      0.00     99.47
06:10:00         42      0.30      0.00      0.14      0.00      0.00      0.02      0.01      0.00      0.00     99.54
06:10:00         43      0.87      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     98.98
06:10:00         44      0.29      0.00      0.42      0.00      0.00      0.02      0.01      0.00      0.00     99.26
06:10:00         45      0.23      0.00      0.20      0.00      0.00      0.01      0.01      0.00      0.00     99.55
06:10:00         46      0.19      0.00      0.35      0.00      0.00      0.02      0.01      0.00      0.00     99.44
06:10:00         47      0.22      0.00      0.26      0.00      0.00      0.02      0.01      0.00      0.00     99.50
06:10:00         48      0.13      0.00      0.10      0.00      0.00      0.01      0.01      0.00      0.00     99.76
06:10:00         49      0.16      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.66
06:10:00         50      0.21      0.00      0.15      0.00      0.00      0.02      0.01      0.00      0.00     99.62
06:10:00         51      0.14      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.68
06:10:00         52      0.09      0.00      0.54      0.00      0.00      0.02      0.01      0.00      0.00     99.33
06:10:00         53      0.10      0.00      0.17      0.00      0.00      0.01      0.00      0.00      0.00     99.72
06:10:00         54      0.11      0.00      0.31      0.00      0.00      0.01      0.01      0.00      0.00     99.56
06:10:00         55      0.10      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.73
06:10:00         56      0.03      0.00      0.18      0.00      0.00      0.02      0.01      0.00      0.00     99.76
